"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","adj_p_val"
"TXK",1.43599261447006e-10,-0.864432637053853,0.717,0.932,4.10521568624701e-06,1.7483210081173e-09
"DNAJB1",2.00890128105012e-10,0.725064525826736,0.906,0.581,5.74304698226608e-06,2.41564178733681e-09
"GZMH",2.10989414838833e-10,-0.305159083052767,0.016,0.324,6.03176539141256e-06,2.50614256162224e-09
"UBB",2.3420611858768e-10,-0.66705209176663,0.969,0.986,6.69548451818461e-06,2.7483946928241e-09
"PPP3CA",2.62558464051871e-10,-0.577232968607017,0.984,0.986,7.5060213703149e-06,3.04442790460146e-09
"LDHB",2.70621113695045e-10,0.882094359627951,0.961,0.77,7.73651639831393e-06,3.10099958516439e-09
"RPL30",3.34809936953458e-10,0.689442653943198,0.992,0.946,9.57154647762545e-06,3.791917192938e-09
"RPS12",3.3925475049542e-10,0.702101440525982,0.984,0.878,9.69861480716306e-06,3.7980934135924e-09
"RPL13A",3.51547671483142e-10,0.454174314842021,1,0.973,1.00500448323601e-05,3.89099354573386e-09
"ADAM19",3.81020723906699e-10,0.28571296271401,0.701,0.365,1.08926204550447e-05,4.09608360027965e-09
"AC093484.4",3.84092991912382e-10,-0.553010328036519,0.89,0.986,1.09804504527912e-05,4.09608360027965e-09
"TNFSF8",3.85824770644723e-10,0.480673762133032,0.48,0.054,1.10299585431914e-05,4.09608360027965e-09
"LIME1",3.86899066966867e-10,0.667209660752709,0.614,0.149,1.10606705264488e-05,4.09608360027965e-09
"RPL11",4.69673026966691e-10,0.662068444183816,1,0.946,1.34270124949238e-05,4.91894116414578e-09
"PLEK",5.12913704171044e-10,-0.58253405276577,0.071,0.419,1.46631769748418e-05,5.31465901981486e-09
"MT-CO2",6.46686485960118e-10,-0.404750919673755,1,1,1.84874732606279e-05,6.63023828763322e-09
"EEF1A1",6.67602876501418e-10,0.410581100188757,1,1,1.90854310334225e-05,6.77338751783731e-09
"JUNB",6.94594813609274e-10,1.16515441181915,1,0.797,1.98570765314619e-05,6.97459122119003e-09
"AREG",7.99476814914099e-10,-0.916205410834801,0.134,0.514,2.28554431847643e-05,7.94582058904421e-09
"LINC00996",8.56756393510831e-10,-0.465013155894252,0.48,0.784,2.44929517776876e-05,8.42909825534898e-09
"H3F3B",1.12479171499412e-09,-0.642396798652144,1,0.986,3.21555455482518e-05,1.09554713040427e-08
"SAMD3",1.17726370740163e-09,-0.930206746850548,0.409,0.716,3.36556148671977e-05,1.13530183268236e-08
"CD3E",1.20708410631872e-09,0.534611548851646,0.929,0.486,3.45081204314397e-05,1.15264697995533e-08
"RPL31",1.24550666502178e-09,0.401514684577405,0.992,0.986,3.56065445396428e-05,1.1777897977973e-08
"CD74",1.30022323220164e-09,-0.665938275278533,0.913,0.986,3.71707817621806e-05,1.21770906554269e-08
"AL121845.2",1.32408008206772e-09,0.364325226384973,0.598,0.149,3.7852801386152e-05,1.22824190469901e-08
"RHOC",1.77226946756783e-09,-0.597655020979478,0.11,0.486,5.06656395388291e-05,1.62848156736893e-08
"CD300A",1.90264747474187e-09,-1.09020849144272,0.299,0.635,5.43928860079205e-05,1.73194265457811e-08
"IL12RB2",1.95800798801411e-09,-0.543425388575507,0.134,0.5,5.59755323613474e-05,1.76583312993125e-08
"IL18RAP",1.9963174027294e-09,-0.912624692823894,0.268,0.622,5.7070721909228e-05,1.78386527546645e-08
"RPL34",2.94319221237815e-09,0.423156590975284,1,0.973,8.41399789674664e-05,2.60606292259665e-08
"CHMP7",3.88017836941596e-09,0.432184051451994,0.646,0.23,0.000110926539224863,3.40476912775779e-08
"RPS28",4.15515352077471e-09,0.689698860619725,0.984,0.838,0.000118787528851907,3.61349957967372e-08
"RPL21P16",4.50814888760986e-09,0.494767377998306,1,0.932,0.000128878960398991,3.88578497038231e-08
"C1orf56",5.15878202239332e-09,-0.471495113316147,0.961,0.946,0.00014747926045618,4.40759095597464e-08
"S100A11",5.89095469480789e-09,0.670383910973382,0.819,0.378,0.000168410612815168,4.9893824980373e-08
"B2M",6.77320166395561e-09,-0.310219732138987,1,1,0.000193632289169163,5.68715381094204e-08
"GSN",7.48440699279606e-09,-0.414977249996359,0.409,0.716,0.000213964227110054,6.23060889827638e-08
"CDC42SE1",8.73047386023981e-09,-0.457412338689143,1,1,0.000249586786716536,7.19244227174128e-08
"TNFRSF18",8.84685365710526e-09,-0.706132286972462,0.173,0.541,0.000252913852349325,7.19244227174128e-08
"RPL3",8.86132518079008e-09,0.40642498301753,1,1,0.000253327564268427,7.19244227174128e-08
"MAFF",9.26542192588956e-09,-0.808139822468183,1,1,0.000264879882017331,7.45828178166647e-08
"LINC02256",9.76477469071217e-09,-0.318574397439725,0.11,0.446,0.000279155378858079,7.79581192520791e-08
"CLDND1",9.96608354640824e-09,-1.05700375404724,0.591,0.838,0.000284910396424719,7.89178047914752e-08
"ABCB1",1.00926133462082e-08,-0.38116559975039,0.236,0.595,0.000288527630341401,7.89178047914752e-08
"RPL21",1.01280550297068e-08,0.397842293467938,1,0.986,0.000289540837189257,7.89178047914752e-08
"TXNIP",1.36048916350179e-08,0.540970192722052,1,0.973,0.000388936642061893,1.05167971845297e-07
"LAT",1.46644320752072e-08,0.636337836906547,0.89,0.649,0.000419226784166024,1.12465801899621e-07
"PLAC8",1.72166523455261e-08,-1.14065157266038,0.866,0.878,0.000492189657253899,1.31007963941737e-07
"CD63",1.87704206969562e-08,-0.902993831278833,0.346,0.689,0.000536608786884584,1.41723951618879e-07
