"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","adj_p_val"
"YIPF5",0.000654615314263909,-0.352611579398033,0.378,0.528,1,0.00170845790538832
"TTC39C-AS1",0.000690634709957166,-0.293646636948339,0.027,0.178,1,0.00179441696962085
"RBMX",0.000701689951988507,-0.329816035199656,0.811,0.906,1,0.0018150380091436
"AQP3",0.000711197558937411,-0.271013970250317,0.135,0.308,1,0.00183149105885652
"ARL4A",0.000725491530931604,-0.568455917430138,0.297,0.493,1,0.00186007079736649
"RRAS2",0.000790254221589782,0.280180244154982,0.149,0.052,1,0.00201722788142655
"RIPOR2",0.000817264891898066,0.382573162568648,0.865,0.85,1,0.00206831342620328
"C19orf70",0.000817374721695454,-0.258419805954453,0.662,0.798,1,0.00206831342620328
"CHMP7",0.000848624787181076,-0.251009207277608,0.23,0.411,1,0.00213809361965102
"TIMP1",0.000865354096701691,-0.504317223046121,0.27,0.467,1,0.00217084519086373
"C9orf85",0.000885511072179472,0.266064454831939,0.757,0.629,1,0.00221187744209636
"TSPYL1",0.000895585977921042,-0.341814189913764,0.824,0.901,1,0.0022274830732908
"ALOX5AP",0.000907464507628445,-0.31678322876567,0.392,0.564,1,0.00224742273804151
"RBM8A",0.000940646639588277,0.421544321608544,0.878,0.834,1,0.00231973027220499
"AC090772.4",0.000967898468871264,-0.505983533007146,0.338,0.517,1,0.00237686459444336
"HSD17B4",0.00101170139037451,-0.343302566576896,0.203,0.392,1,0.00247399247562169
"ARL6IP5",0.0010434839613806,-0.343881871160694,0.703,0.882,1,0.00253613607616937
"ELOVL5",0.00105036833603155,-0.332414373358525,0.297,0.474,1,0.00253613607616937
"RGS1",0.0010539099601016,-0.942505081321604,0.838,0.895,1,0.00253613607616937
"PSTPIP1",0.00105454455400857,0.446394254830525,0.486,0.345,1,0.00253613607616937
"DAD1",0.00111552571142015,-0.402056148686678,0.446,0.648,1,0.00267175293846307
"IL4R",0.00114865160430715,-0.282055310762717,0.365,0.53,1,0.00273981653158508
"CITED2",0.00119846069813789,-0.352630496109354,0.297,0.488,1,0.00284456037304414
"LTC4S",0.00120233995149289,-0.38366612841357,0.054,0.206,1,0.00284456037304414
"GBP5",0.00122236669723026,0.297030948877103,0.5,0.34,1,0.00287499249925689
"RPE",0.00122508271445998,0.300579154089291,0.311,0.178,1,0.00287499249925689
"KRT81",0.00125507300557604,-0.317680562866611,0.23,0.378,1,0.00293354413351508
"HPGD",0.00130017091666236,-0.275499782156608,0.014,0.146,1,0.00302679789398997
"GSTP1",0.00130881527885329,0.592824913925399,0.595,0.509,1,0.00303478283781919
"DNAJB1",0.00137311559240258,-0.340239201782203,0.581,0.72,1,0.00317124315388215
"B3GNTL1",0.00138801389479978,-0.316335301972194,0.176,0.333,1,0.00318180186802175
"TMEM59",0.00138862143381018,-0.410438241329577,0.811,0.88,1,0.00318180186802175
"FTH1",0.00144713450589105,-0.329886444320782,0.959,0.983,1,0.00330287169579839
"PPP3CC",0.00145283138614914,0.272224533527248,0.419,0.253,1,0.00330292135444844
"LZTFL1",0.00152106067558925,-0.32807002144119,0.216,0.369,1,0.00344458098518654
"RPS4Y1",0.00160812693287214,0.255523241064946,0.365,0.204,1,0.00361437794215269
"ANP32E",0.00160846028697173,-0.316537363479081,0.649,0.774,1,0.00361437794215269
"ZNF600",0.00167970698125396,0.457154803184207,0.432,0.298,1,0.00375995947342232
"RGS10",0.00168838453361506,-0.362362772250823,0.095,0.258,1,0.00376132184115308
"KLHDC4",0.00169442832512389,0.424990401315039,0.622,0.472,1,0.00376132184115308
"TXNIP",0.00169970385605371,-0.362071873950768,0.973,0.984,1,0.00376132184115308
"TOMM7",0.00172118756515308,-0.4530966864221,0.486,0.636,1,0.00379443622317837
"NRP1",0.00175251340690365,-0.331225375565452,0.311,0.486,1,0.00384891623704877
"DDIT4-AS1",0.00190316840896763,-0.281005097745648,0.649,0.767,1,0.00416407524067354
"AC020571.1",0.00192061787875399,-0.421105135230062,0.149,0.3,1,0.00418651537616039
"TRAT1",0.0022164128284529,-0.555164812023004,0.243,0.394,1,0.00481325472447608
"BTG1",0.00228479935026796,0.261411984756918,1,0.991,1,0.00494332052734555
"CD300LF",0.00230641642182033,-0.617333562890129,0.257,0.383,1,0.00497160873147938
"CA2",0.00234287988395086,-0.341521659995417,0.068,0.207,1,0.00501393155234912
"LTA",0.0023432807254965,-0.468485505178209,0.189,0.354,1,0.00501393155234912
