"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","adj_p_val"
"AHR",7.23500263966048e-16,0.35730093622776,0.769,0.612,2.06834255462614e-11,2.98082108754012e-15
"CST7",9.42829701746712e-16,-0.643275434099176,0.097,0.359,2.6953615513535e-11,3.85873348132098e-15
"CD27",9.99670630644628e-16,-0.387048406200192,0.075,0.321,2.85785839888686e-11,4.06445032722619e-15
"DUSP10",1.14085435298533e-15,0.265175884511546,0.484,0.188,3.26147442431447e-11,4.60815679833291e-15
"RPL41",1.58811493458538e-15,-0.344194503241413,0.977,0.997,4.54010297499268e-11,6.37308460762185e-15
"CORO1A",1.63590212283855e-15,-0.504765683452383,0.808,0.95,4.67671698877085e-11,6.52250007686597e-15
"CNN2",2.74029018220995e-15,-0.64439169702603,0.769,0.847,7.8339415729018e-11,1.0855764952601e-14
"STAP1",2.86403113985933e-15,0.374608951048083,0.403,0.129,8.18769222262985e-11,1.12737021938412e-14
"LPAR6",3.83924227757056e-15,-0.521902118111383,0.312,0.597,1.09756258231187e-10,1.50167830856874e-14
"MT-CO3",4.52651885026015e-15,0.262732711073934,1,1,1.29404120891237e-10,1.75936393047847e-14
"SPRY1",6.11420950731664e-15,0.436419691178882,0.406,0.138,1.74793021395168e-10,2.36161342220105e-14
"RPS21",6.39536885969036e-15,-0.592286579894971,0.672,0.844,1.82830804960828e-10,2.45486829521034e-14
"SLA",6.51017322361304e-15,0.593409594808109,0.88,0.671,1.8611283211665e-10,2.48351052604498e-14
"RPL32",7.1990362929632e-15,-0.446407694693447,0.922,0.985,2.05806049543232e-10,2.7294505699701e-14
